Place of Origin,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,country_code
"AFRICA, SUB-SAHARAN","32,121","31,470","30,046","30,585","31,113","33,593","35,364","37,735","39,479","40,290",
"Africa, Sub-saharan, Unspecified",0,0,0,0,0,0,0,0,0,0,
East Africa,"9,872","8,863","7,827","7,761","7,549","7,560","7,690","8,480","9,093","9,227",
Burundi,113,123,103,124,122,165,148,180,134,141,108
Djibouti,3,11,8,13,7,7,9,10,9,9,262
Eritrea,164,120,110,106,97,108,109,138,151,117,232
Ethiopia,"1,553","1,392","1,334","1,463","1,516","1,472","1,517","1,847","2,118","2,061",231
Kenya,"5,384","4,666","3,898","3,516","3,201","3,072","3,019","3,189","3,322","3,451",404
Rwanda,451,457,465,565,720,800,928,"1,088","1,232","1,292",646
Seychelles,5,6,10,16,16,14,20,16,11,16,690
Somalia,36,26,34,30,15,32,35,50,67,76,706
South Sudan,,,,8,18,28,36,48,76,63,728
Sudan,213,236,180,187,186,233,253,324,331,319,729
Tanzania,"1,098","1,006",906,950,889,867,840,811,824,834,
Uganda,852,820,779,783,762,762,776,779,818,848,800
"East Africa, Unspecified",0,0,0,0,0,0,0,0,0,0,
Central Africa,"2,872","2,831","2,778","2,861","2,883","3,032","3,311","3,545","3,562","3,325",
Cameroon,"1,881","1,659","1,530","1,472","1,285","1,212","1,210","1,334","1,382","1,188",120
Central African Republic,32,29,28,28,11,13,13,15,14,17,140
Chad,96,99,84,89,81,61,52,66,75,65,148
"Congo, Republic of the (Brazzaville)",229,240,249,309,282,288,337,268,298,284,
"Congo, Dem. Rep. of the (Kinshasa)",249,252,320,386,571,755,949,"1,137","1,123","1,164",
Equatorial Guinea,78,119,164,196,253,314,339,360,335,280,226
Gabon,306,431,402,378,397,388,410,363,332,327,266
São Tomé & Príncipe,1,2,1,3,3,1,1,2,3,0,
"Central Africa, Unspecified",0,0,0,0,0,0,0,0,0,0,
Southern Africa,"5,313","5,330","5,196","5,511","5,683","6,043","6,263","6,473","6,429","6,315",
Angola,615,699,779,812,985,"1,184","1,296","1,257","1,183","1,014",024
Botswana,212,229,175,216,228,257,246,296,233,214,072
Comoros,50,23,9,19,27,32,32,10,12,18,174
Eswatini,140,146,154,182,177,165,192,183,188,181,
Lesotho,48,51,46,41,41,56,61,59,55,58,426
Madagascar,142,146,133,124,151,122,126,143,132,159,450
Malawi,274,269,258,252,275,272,289,317,306,311,454
Mauritius,210,247,205,228,221,231,250,283,288,311,480
Mozambique,88,76,67,88,91,108,109,120,111,113,508
Namibia,76,73,63,65,61,67,76,93,101,105,516
Reunion,2,7,1,2,2,1,5,2,6,1,
South Africa,"1,656","1,669","1,610","1,816","1,716","1,838","1,813","1,911","2,040","2,042",710
Zambia,641,560,535,496,502,465,473,469,450,445,894
Zimbabwe,"1,159","1,135","1,161","1,170","1,206","1,245","1,295","1,330","1,324","1,343",716
"Southern Africa, Unspecified",0,0,0,0,0,0,0,0,0,0,
West Africa,"14,064","14,446","14,245","14,452","14,998","16,958","18,100","19,237","20,395","21,423",
Benin,342,289,313,318,291,287,259,248,234,246,204
Burkina Faso,680,626,631,627,526,567,540,533,567,514,854
Cabo Verde/Cape Verde,42,55,87,81,69,64,102,80,67,52,
Côte d’Ivoire/Ivory Coast,867,904,955,980,"1,116","1,227","1,229","1,353","1,349","1,392",384
Gambia,299,385,383,328,300,275,274,299,261,243,270
Ghana,"2,951","2,900","2,769","2,863","2,914","3,099","3,049","3,111","3,213","3,661",288
Guinea,180,139,104,79,80,109,94,94,98,107,324
Guinea-Bissau,15,12,12,10,15,9,18,9,10,16,624
Liberia,231,172,159,172,161,168,205,221,262,255,430
Mali,500,481,402,383,315,356,331,310,302,291,466
Mauritania,52,60,61,71,63,81,97,103,106,84,478
Niger,228,247,279,194,217,199,246,177,288,257,562
Nigeria,"6,568","7,148","7,028","7,316","7,921","9,494","10,674","11,710","12,693","13,423",566
Saint Helena,2,4,1,1,0,0,3,1,1,8,654
Senegal,624,600,681,688,633,633,603,569,544,504,686
Sierra Leone,173,183,130,123,146,152,167,209,200,181,694
Togo,310,241,250,218,231,238,209,210,199,189,768
"West Africa, Unspecified",0,0,0,0,0,0,0,0,1,0,
ASIA,"435,667","461,818","489,970","525,849","568,510","627,306","689,525","734,309","758,076","768,260",
"Asia, Unspecified",0,0,0,1,0,0,0,0,0,0,
East Asia,"261,125","286,925","319,515","357,596","393,205","417,881","439,702","459,284","468,304","472,085",
China,"127,628","157,558","194,029","235,597","274,439","304,040","328,547","350,755","363,341","369,548",156
Hong Kong,"8,034","8,136","8,032","8,026","8,104","8,012","7,923","7,547","7,162","6,917",364
Japan,"24,842","21,290","19,966","19,568","19,334","19,064","19,060","18,780","18,753","18,105",392
Macau,468,497,505,533,552,573,586,605,555,558,
Mongolia,"1,258","1,259","1,423","1,361","1,444","1,481","1,434","1,410","1,481","1,336",496
North Korea,57,16,15,17,19,8,18,8,3,2,408
South Korea,"72,153","73,351","72,295","70,627","68,047","63,710","61,007","58,663","54,555","52,250",410
Taiwan,"26,685","24,818","23,250","21,867","21,266","20,993","21,127","21,516","22,454","23,369",158
"East Asia, Unspecified",0,0,0,0,0,0,0,0,0,0,
South and Central Asia,"130,725","128,873","124,392","121,100","127,301","158,560","195,135","218,937","231,661","238,621",
Afghanistan,426,429,371,449,450,471,498,506,476,418,004
Bangladesh,"2,619","2,873","3,314","3,828","4,802","5,455","6,513","7,143","7,496","8,249",050
Bhutan,126,115,100,133,127,128,143,148,152,146,064
India,"104,897","103,895","100,270","96,754","102,673","132,888","165,918","186,267","196,271","202,014",356
Kazakhstan,"1,936","1,890","1,938","1,969","2,012","2,017","1,935","1,792","1,865","1,879",398
Kyrgyzstan,274,279,254,261,244,227,227,216,227,290,417
Maldives,39,34,29,33,39,34,37,40,32,25,462
Nepal,"11,233","10,301","9,621","8,920","8,155","8,158","9,662","11,607","13,270","13,229",524
Pakistan,"5,222","5,045","4,600","4,772","4,935","5,354","6,141","7,015","7,537","7,957",586
Sri Lanka,"2,957","2,965","2,902","3,046","2,917","2,882","3,080","3,263","3,309","3,334",144
Tajikistan,288,249,298,312,270,254,235,204,222,229,762
Turkmenistan,195,210,209,178,214,201,216,231,234,280,795
Uzbekistan,513,560,486,445,463,491,530,505,570,571,860
"South and Central Asia, Unspecified",0,28,0,0,0,0,0,0,0,0,
Southeast Asia,"43,817","46,020","46,063","47,152","48,004","50,865","54,688","56,088","58,111","57,554",
Brunei,43,66,69,61,60,73,59,53,53,50,
Cambodia,347,340,333,393,432,492,499,512,659,685,116
Indonesia,"6,943","6,942","7,131","7,670","7,920","8,188","8,727","8,776","8,650","8,356",360
Laos,64,49,43,50,57,63,63,91,104,96,
Malaysia,"6,190","6,735","6,743","6,791","6,822","7,231","7,834","8,247","8,271","7,709",458
Myanmar,695,796,807,955,"1,042","1,067","1,194","1,351","1,569","1,773",104
Philippines,"3,815","3,604","3,194","3,215","3,112","3,026","2,886","3,006","3,225","3,320",608
Singapore,"4,051","4,316","4,505","4,558","4,592","4,727","4,865","4,677","4,575","4,632",702
Thailand,"8,531","8,236","7,626","7,314","7,341","7,217","7,113","6,893","6,636","6,503",764
Timor-Leste/East Timor,26,48,40,47,47,59,45,44,44,38,
Vietnam,"13,112","14,888","15,572","16,098","16,579","18,722","21,403","22,438","24,325","24,392",704
"Southeast Asia, Unspecified",0,0,0,0,0,0,0,0,0,0,
EUROPE,"85,084","84,296","85,423","85,823","86,885","90,625","91,915","92,820","92,655","90,996",
Albania,790,697,659,649,636,670,705,781,884,993,008
Andorra,11,14,24,13,9,9,11,16,14,17,020
Armenia,374,350,363,345,272,304,270,280,313,328,051
Austria,994,"1,019",989,"1,036","1,062","1,114","1,141","1,111","1,148","1,098",040
Azerbaijan,409,440,460,388,383,408,391,386,426,489,031
Belarus,408,347,358,355,306,330,323,319,351,378,112
Belgium,845,904,880,894,948,"1,001","1,094","1,087","1,080","1,073",056
Bosnia and Herzegovina,404,356,341,364,319,296,309,303,290,300,070
Bulgaria,"2,495","1,957","1,694","1,473","1,252","1,171","1,016",929,826,757,100
Croatia,623,583,552,581,529,523,527,537,528,516,191
Cyprus,586,470,438,425,419,417,401,388,410,431,196
Czech Republic,828,765,701,776,736,796,749,772,763,820,
"Czechoslovakia, Former",,,,,,,,,,,
Denmark,989,"1,149","1,233","1,359","1,470","1,602","1,486","1,490","1,423","1,423",208
Estonia,220,228,241,218,212,288,191,179,186,184,233
Finland,663,639,640,691,656,669,714,737,768,716,246
France,"7,716","8,098","8,232","8,297","8,302","8,743","8,764","8,814","8,802","8,716",250
Georgia,448,460,481,456,496,541,543,558,597,574,268
Germany,"9,548","9,458","9,347","9,819","10,160","10,193","10,145","10,169","10,042","9,191",276
Gibraltar,18,2,4,4,2,6,4,15,6,16,292
Greece,"1,837","1,874","1,922","2,046","2,170","2,147","2,199","2,318","2,395","2,523",300
Hungary,664,670,655,690,667,720,773,730,716,793,348
Iceland,407,369,391,384,390,396,382,402,412,407,352
Ireland,"1,212","1,167","1,106","1,158","1,156","1,192","1,183","1,217","1,141","1,180",372
Italy,"4,072","4,308","4,284","4,276","4,443","4,863","5,155","5,593","5,789","6,114",380
Kosovo,88,121,114,106,112,170,268,244,229,159,
Latvia,286,324,308,295,266,276,281,244,236,244,428
Liechtenstein,8,5,14,7,8,8,8,8,9,8,438
Lithuania,361,338,288,284,287,293,315,333,327,318,440
Luxembourg,56,59,68,87,95,97,86,118,102,101,442
Macedonia,278,257,222,237,237,237,236,245,224,227,
Malta,32,19,41,51,52,29,23,25,34,38,470
Moldova,441,411,416,379,328,322,281,252,237,205,
Monaco,23,22,43,21,28,18,23,22,17,17,492
Montenegro,94,85,112,109,95,121,126,101,115,112,499
Netherlands,"1,830","1,833","1,975","1,948","2,074","2,257","2,445","2,551","2,701","2,681",528
Norway,"1,467","1,822","2,016","2,097","2,304","2,498","2,391","2,293","2,105","1,988",578
