Year,Rank,Institutions,City,State,Int'l Students
2009/10,1,University of Southern California,Los Angeles,CA,"7,987"
2009/10,2,University of Illinois - Urbana-Champaign,Champaign,IL,"7,287"
2009/10,3,New York University,New York,NY,"7,276"
2009/10,4,Purdue University - West Lafayette,West Lafayette,IN,"6,903"
2009/10,5,Columbia University,New York,NY,"6,833"
2009/10,6,Houston Community College System,Houston,TX,"6,125"
2009/10,7,University of Michigan - Ann Arbor,Ann Arbor,MI,"6,095"
2009/10,8,University of California - Los Angeles,Los Angeles,CA,"5,685"
2009/10,9,Michigan State University,East Lansing,MI,"5,358"
2009/10,10,University of Texas - Austin,Austin,TX,"5,265"
2009/10,11,Boston University,Boston,MA,"5,172"
2009/10,12,University of Florida,Gainesville,FL,"4,920"
2009/10,13,SUNY University at Buffalo,Buffalo,NY,"4,911"
2009/10,14,Harvard University,Cambridge,MA,"4,867"
2009/10,15,Indiana University - Bloomington,Bloomington,IN,"4,819"
2009/10,16,Ohio State University - Columbus,Columbus,OH,"4,796"
2009/10,17,University of Minnesota - Twin Cities,Minneapolis,MN,"4,665"
2009/10,18,Texas A&M University - College Station,College Station,TX,"4,611"
2009/10,19,Pennsylvania State University - University Park,University Park,PA,"4,561"
2009/10,20,University of Pennsylvania,Philadelphia,PA,"4,522"
2009/10,21,Arizona State University - Tempe,Tempe,AZ,"4,483"
2009/10,22,University of Wisconsin - Madison,Madison,WI,"4,312"
2009/10,23,Cornell University,Ithaca,NY,"4,115"
2009/10,24,University of Houston,Houston,TX,"4,103"
2009/10,25,Georgia Institute of Technology,Atlanta,GA,"4,030"
2010/11,1,University of Southern California,Los Angeles,CA,"8,615"
2010/11,2,University of Illinois - Urbana-Champaign,Champaign,IL,"7,991"
2010/11,3,New York University,New York,NY,"7,988"
2010/11,4,Purdue University - West Lafayette,West Lafayette,IN,"7,562"
2010/11,5,Columbia University,New York,NY,"7,297"
2010/11,6,University of California - Los Angeles,Los Angeles,CA,"6,249"
2010/11,7,Ohio State University - Columbus,Columbus,OH,"6,082"
2010/11,8,University of Michigan - Ann Arbor,Ann Arbor,MI,"5,995"
2010/11,9,Michigan State University,East Lansing,MI,"5,748"
2010/11,10,Harvard University,Cambridge,MA,"5,594"
2010/11,11,Indiana University - Bloomington,Bloomington,IN,"5,471"
2010/11,12,Boston University,Boston,MA,"5,464"
2010/11,13,University of Florida,Gainesville,FL,"5,393"
